,类别,评分口味,评分环境,评分服务,人均/元,性价比
217,三星店铺,3.45,3.74,3.63,65.29488067626953,0.1657097752218172
218,三星半店铺,3.56,3.52,3.61,65.26132316589356,0.1638029920543618
219,三星店铺,3.32,3.37,3.46,65.16239967346192,0.15576467488709894
220,三星半店铺,3.79,3.87,3.85,65.41921501159668,0.17594219065391806
221,三星半店铺,3.92,3.84,3.92,65.44856643676758,0.17846074613848883
222,三星店铺,3.51,3.52,3.56,65.24326400756836,0.16231560699923808
223,三星半店铺,3.67,3.7,3.67,65.32771377563476,0.16899412763649446
224,三星店铺,3.47,3.52,3.44,65.21659774780274,0.15992861265675892
225,三星半店铺,3.54,3.57,3.57,65.26018600463867,0.16365261354359104
226,三星半店铺,3.52,3.52,3.52,65.23669776916503,0.16187208060968594
227,三星半店铺,3.5,3.51,3.51,65.22958335876464,0.16127651685493202
228,三星半店铺,3.83,3.91,3.83,65.42921371459961,0.1768323252433999
229,三星半店铺,3.92,3.94,3.92,65.46851119995117,0.1799338305406399
230,三星半店铺,3.83,3.79,3.81,65.40026321411133,0.1747699388086524
231,三星半店铺,3.74,3.47,3.58,65.27273750305176,0.16530638077643864
232,三星半店铺,3.56,3.56,3.56,65.25900001525879,0.16365558769675928
233,三星半店铺,3.53,3.54,3.53,65.24444732666015,0.1624659328774578
234,三星半店铺,3.56,3.56,3.59,65.26534919738769,0.16409932884307127
235,三星半店铺,3.93,3.82,3.87,65.43549118041992,0.17757947239917748
236,三星半店铺,3.66,3.66,3.66,65.31582565307617,0.16810627271742795
237,三星半店铺,3.87,3.86,3.87,65.43360900878906,0.17727892707923057
238,三星半店铺,3.77,3.71,3.69,65.34936828613282,0.1709274365299455
239,三星半店铺,3.75,3.75,3.77,65.37127876281738,0.17239987060510553
240,三星半店铺,3.54,3.54,3.54,65.24783287048339,0.1627640265245383
