,类别,标题,经度,纬度
621,三星半店铺,郑州东来顺(东区店),113.7734607,34.75577796
630,四星店铺,郑州蜀签客火锅串串(农业南路店),113.7621695,34.75151423
631,四星店铺,郑州小拙匠火锅(郑东商业中心店),113.766452,34.74810406
639,三星半店铺,郑州乾坤号牛鹅煲(卢浮公馆店),113.776794,34.74396696
640,三星半店铺,郑州京福涮羊肉(十里铺店),113.7181672,34.72998759
646,三星半店铺,郑州锅圈食汇火锅烧烤食材超市(万通街店),113.766602,34.74708693
656,三星半店铺,郑州脆香小厨 中山脆鱼 肚包鸡,113.69014,34.75264364
665,四星店铺,郑州黄瓜条串串火锅(郑东商业中心店),113.7670596,34.75168344
668,三星店铺,郑州每天粗粮·铁锅焖面·内蒙古羊肉串,113.7778966,34.74028891
672,三星半店铺,郑州京来顺涮锅,113.8390932,34.73048806
673,三星半店铺,郑州齐祺渔锅(郑东商业中心店),113.7670596,34.75168344
679,三星半店铺,郑州王婆大虾(黄河南路五洲店),113.754749,34.74457198
680,三星半店铺,郑州warm case暖格创意餐厅,113.7662516,34.74785069
687,四星店铺,郑州建业天筑国际公寓·天尚餐厅,113.773945,34.75839999
697,三星店铺,郑州三桥里火锅(郑东商业中心店),113.7670596,34.75168344
703,三星半店铺,郑州妙小鸡鲍汁焖鸡(郑东商业中心C区店),113.767663,34.749064
710,三星半店铺,郑州鲜虾记?啤酒无限畅饮(郑东商业中心店),113.7670596,34.75168344
714,三星半店铺,郑州东府·十一郎丹江鲜鱼火锅(建正东方中心店),113.7834136,34.75168003
715,三星店铺,郑州额吉苏尼特羔羊铜锅涮(郑东商业中心店),113.767646,34.74794301
717,三星店铺,郑州壹味捞清真铜锅涮肉(卢浮公馆店),113.7723624,34.74511308
718,三星店铺,郑州驴得水·驴肉火锅(郑东商业中心店),113.7670596,34.75168344
719,三星店铺,郑州串掌柜老成都串串香,113.7621681,34.75147138
733,三星半店铺,郑州苗岭啤酒鸭(祥谦万和城直营店),113.8369393,34.7500381
737,三星半店铺,郑州喜虾客(新悦荟店),113.672785,34.75528898
762,四星半店铺,郑州嘴八爷美蛙鱼头火锅(公园茂店),113.766544,34.74777098
783,三星半店铺,郑州姥家大锅台,113.6945779,34.71855874
805,三星半店铺,郑州柘城垛子羊肉,113.7368725,34.70017256
878,四星半店铺,郑州晓蓉城·老成都火锅集市,113.6684926,34.72345302
917,四星半店铺,郑州七里田·美蛙鱼头火锅(凯德广场店),113.766544,34.74777098
1003,四星半店铺,郑州海底捞火锅(人民路丹尼斯店),113.6739455,34.75043175
1011,三星半店铺,郑州京都涮羊肉,113.7181672,34.72998759
1063,三星半店铺,郑州潮汕鼎记生鲜牛肉火锅(白庄街店),113.737152,34.74881101
1074,三星半店铺,郑州黄瓜条串串火锅(上悦城店),113.7669251,34.74978473
1107,三星半店铺,郑州杨新伟老北京旋转火锅,113.7200967,34.71046288
1110,三星半店铺,郑州王婆大虾(远大理想城店),113.745248,34.73681694
1165,三星半店铺,郑州潮汕手锤牛肉丸火锅,113.7433244,34.73169058
1166,三星半店铺,郑州秘制农家地锅柴鸡,113.7363235,34.74712334
1176,三星半店铺,郑州0068香辣虾,113.7017046,34.7140551
1177,三星半店铺,郑州姚记海鲜火锅烧烤总汇(新世纪分店),113.6729716,34.74595923
1208,三星半店铺,郑州玉兴信阳食府,113.7688979,34.74812178
1239,三星半店铺,郑州李二鲜鱼火锅,113.6513714,34.66509809
1244,三星半店铺,郑州醉巴厨自助小火锅,113.6743119,34.64081099
1258,三星半店铺,郑州杨新伟老北京旋转小火锅(华强店),113.7116987,34.73846314
1276,三星半店铺,郑州和悦驴肉火锅,113.7572556,34.74457065
1285,三星店铺,郑州星期八?小山羊烤小串,113.682472,34.74776319
1286,三星店铺,郑州羊大爷铜锅涮肉,113.6598487,34.73780965
1300,三星半店铺,郑州阿欢小厨,113.69014,34.75264364
1306,三星半店铺,郑州胡子哥碳锅鱼·碳锅鸡,113.6759,34.696922
1326,三星店铺,郑州手擀面烙馍粥麻婆焖锅,113.7004649,34.71167119
1345,三星店铺,郑州少掌柜火锅鸡(西悦城店),113.8078249,34.69661905
1359,三星半店铺,郑州一鼎旋转火锅姐弟土豆粉(元通店),113.7687424,34.72442875
1370,三星半店铺,郑州老铜锅涮羊肉,113.680273,34.7131107
1377,三星半店铺,郑州二宇啤酒鸭火锅,113.6718098,34.66691422
1452,四星半店铺,郑州喜虾客(无限城店),113.672785,34.75528898
1454,三星半店铺,郑州味鼎轩29元自助火锅(橄榄城店),113.6762306,34.70231703
1460,四星半店铺,郑州麻门匠骨秘制羊棒骨(佛岗店),113.6795376,34.75026077
1462,四星半店铺,郑州三江汇火锅店,113.6619635,34.73753659
1463,三星半店铺,郑州四川小天府火锅,113.6623514,34.73751768
1467,四星店铺,郑州米字旁年糕火锅(无限城店),113.6722338,34.7552531
1470,四星店铺,郑州臻赞猪肚鸡(无限城店),113.6725712,34.7554429
1473,四星店铺,郑州藤麻麻藤椒豆花鸡(百年德化店),113.671692,34.75626397
