,类别,标题,经度,纬度
124,四星半店铺,郑州汕锦记潮汕牛肉火锅(中原万达店),113.6545605,34.81514795
129,三星半店铺,郑州煳辣鱼老店(桐柏路总店),113.6108754,34.79535462
131,三星半店铺,郑州小龙坎火锅(中原万达店),113.684249,34.79860098
132,三星半店铺,郑州京回阁二力涮锅(秦陇路店),113.6834327,34.75776216
168,三星半店铺,郑州渔管家火锅鱼,113.6653478,34.82944879
178,三星半店铺,郑州老四串串香,113.8078522,34.81870847
189,三星半店铺,郑州西川巷子市井火锅(郑州总店),113.6699371,34.82018662
205,四星半店铺,郑州胡涂印象老串串(桐柏路店),113.6108754,34.79535462
207,三星半店铺,郑州火锅轰趴·专业火锅外卖(中原店),113.6912475,34.78477554
216,三星店铺,郑州鲁西肥牛(北鑫苑店),113.6420649,34.76273676
217,三星半店铺,郑州RED SUN韩国年糕火锅(锦艺城店),113.6749292,34.76272111
219,三星半店铺,郑州胖虎旋转小火锅(郑州总店),113.622734,34.77568495
232,三星半店铺,郑州秦胖子虾滑鲜菜火锅,113.6260325,34.77849721
233,三星半店铺,郑州二三堂清真潮州牛肉丸火锅,113.6996899,34.76114213
234,三星半店铺,郑州好易香骨汤串串香,113.702399,34.76560825
237,三星半店铺,郑州孙记香辣炒鸡老店,113.6830591,34.76468059
238,三星半店铺,郑州楊府宴(紫荆山店),113.6882972,34.75997919
240,三星半店铺,郑州老味道串串香(丰乐路店),113.64876,34.79978627
242,四星店铺,郑州廣順興猪肚鸡(天明路店),113.649755,34.80430451
243,四星店铺,郑州龍園涮肉(丰庆路店),113.6548336,34.82960328
246,三星半店铺,郑州红盛得火锅食品连锁超市(南阳路店),113.6391005,34.80996137
247,三星半店铺,郑州兜品香臭豆腐·烤面筋(丰乐路店),113.6422351,34.80819806
248,三星半店铺,郑州一品香辣炒鸡老店,113.6548968,34.80265543
249,三星半店铺,郑州御锅苑涮锅(丰乐路店),113.6383382,34.81326806
250,四星店铺,郑州京馆涮(瀚海海尚店),113.6528236,34.80726089
252,三星店铺,郑州北59号牛杂煲(天明路店),113.649755,34.80430451
253,三星半店铺,郑州冲浪牛牛蝎子火锅,113.696213,34.82527195
254,三星店铺,郑州渝崖洞老火锅,113.7769826,34.76042179
255,三星店铺,郑州渝中味道牛杂火锅(丰乐路店),113.6497182,34.79715252
256,三星半店铺,郑州老二烧烤碳锅鱼烩面,113.6390354,34.80031203
260,四星半店铺,郑州好彩猪肚鸡火锅(瀚海海尚店),113.7362392,34.75690389
262,三星半店铺,郑州天天燚锅旋转小火锅,113.6319899,34.77838032
265,三星半店铺,郑州小老胖串串香,113.6436743,34.79814146
